Actual,Predicted
220.0405120849609,190.35995079159048
224.0901641845703,190.35995079159048
227.83209228515625,190.35995079159048
227.3358154296875,190.35995079159048
225.85693359375,190.35995079159048
229.57904052734372,190.35995079159048
232.1100311279297,190.35995079159048
230.0554351806641,190.35995079159048
230.4226837158203,190.35995079159048
233.25146484375,190.35995079159048
234.72044372558597,190.35995079159048
234.10508728027344,190.35995079159048
229.04302978515625,190.35995079159048
228.85446166992188,190.35995079159048
229.68820190429688,190.35995079159048
231.6633758544922,190.35995079159048
231.93138122558597,190.35995079159048
228.3879547119141,190.35995079159048
224.22911071777344,190.35995079159048
221.25143432617188,190.35995079159048
220.35813903808597,190.35995079159048
221.7874298095703,190.35995079159048
221.06285095214844,190.35995079159048
225.7874298095703,190.35995079159048
225.51914978027344,190.35995079159048
222.8064727783203,190.35995079159048
222.8064727783203,190.35995079159048
223.6908264160156,190.35995079159048
226.7711639404297,190.35995079159048
223.5715789794922,190.35995079159048
226.57241821289065,190.35995079159048
226.83078002929688,190.35995079159048
227.5461883544922,190.35995079159048
227.0692596435547,190.35995079159048
228.41067504882807,190.35995079159048
231.39161682128903,190.35995079159048
233.56771850585935,190.35995079159048
233.43853759765625,190.35995079159048
235.82330322265625,190.35995079159048
238.06895446777344,190.35995079159048
241.1095428466797,190.35995079159048
241.46725463867188,190.35995079159048
241.49703979492188,190.35995079159048
241.29830932617188,190.35995079159048
245.1835021972656,190.35995079159048
246.1970367431641,190.35995079159048
244.9251708984375,190.35995079159048
246.3858184814453,190.35995079159048
246.55474853515625,190.35995079159048
249.4462738037109,190.35995079159048
251.87075805664065,190.35995079159048
246.4752655029297,190.35995079159048
248.20420837402344,190.35995079159048
252.8743896484375,190.35995079159048
253.64942932128903,190.35995079159048
256.56085205078125,190.35995079159048
257.3755798339844,190.35995079159048
253.9673767089844,190.35995079159048
250.5988922119141,190.35995079159048
248.8302001953125,190.35995079159048
